STATION_NO,STATUT,DATE_MAJ_ISO,STATIONNEMENT,OBJECTID,X_32187,Y_32187,LON_WGS84,LAT_WGS84,RUE_REVERSE
0039,Éteint,2025-12-31T21:15:39,Permis,531,249749.21437500045,5187452.785625,-71.22153224613896,46.82434701896146,"808-898 4e Rue, Quebec, QC, G1J, CAN"
0040,Éteint,2025-12-31T21:15:39,Permis,958,249336.5499999998,5187216.174000001,-71.22691176034708,46.82218432980101,"200-250 4e Rue, Quebec, QC, G1L, CAN"
0041,Éteint,2025-12-31T21:15:39,Permis,741,249570.19099999964,5187368.447000001,-71.22386826818669,46.823573525873456,"430-498 4e Rue, Quebec, QC, G1J, CAN"
0042,Éteint,2025-12-31T21:15:39,Permis,140,249650.27300000004,5187457.978,-71.22282955713362,46.82438554600102,"692-754 Rue J E Cauchon, Quebec, QC, G1J, CAN"
0043,Éteint,2025-12-31T21:15:39,Permis,959,249539.6950000003,5187454.706,-71.22427835209542,46.82434695105162,"472-598 5e Rue, Quebec, QC, G1J, CAN"
0044,Éteint,2025-12-31T21:15:39,Permis,313,249269.81012499984,5187285.520874999,-71.22779480831404,46.82280258973599,"210-298 5e Rue, Quebec, QC, G1L, CAN"
0045,Éteint,2025-12-31T21:15:39,Permis,1036,249205.6339999996,5187362.210999999,-71.22864517025097,46.82348711363259,"211-293 6e Rue, Quebec, QC, G1L, CAN"
0046,Éteint,2025-12-31T21:15:39,Permis,960,249467.36899999995,5187512.25,-71.22523318811108,46.82485859300046,"410-596 6e Rue, Quebec, QC, G1J, CAN"
0047,Éteint,2025-12-31T21:15:39,Permis,532,249604.55200000014,5187572.879000001,-71.22344262474287,46.8254153664635,"598-706 6e Rue, Quebec, QC, G1J, CAN"
0048,Éteint,2025-12-31T21:15:39,Permis,742,249557.65500000026,5187619.085999999,-71.22406283088166,46.8258271406609,"601-755 Rue Flynn, Quebec, QC, G1J, CAN"
0049,Éteint,2025-12-31T21:15:39,Permis,1037,249481.26300000027,5187636.550000001,-71.22506613237223,46.825977902178806,"431-599 7e Rue, Quebec, QC, G1J, CAN"
0050,Éteint,2025-12-31T21:15:39,Permis,533,249222.34724999964,5187456.334249999,-71.22843757426818,46.82433520438135,"220-298 7e Rue, Quebec, QC, G1L, CAN"
0051,Éteint,2025-12-31T21:15:39,Permis,442,249538.43800000008,5187736.865,-71.22432891993734,46.8268850422208,"755-799 8e Av, Quebec, QC, G1J, CAN"
0052,Éteint,2025-12-31T21:15:39,Permis,1033,249531.98500000034,5187798.2530000005,-71.22442091341843,46.82743672998834,"801-981 8e Rue, Quebec, QC, G1J, CAN"
0053,Éteint,2025-12-31T21:15:39,Permis,1034,249479.27300000004,5187828.767999999,-71.22511546593789,46.827706856553206,"915-977 8e Av, Quebec, QC, G1J, CAN"
0054,Éteint,2025-12-31T21:15:39,Permis,528,249413.78000000026,5187676.569,-71.22595540954798,46.82633229163013,"400-598 8e Rue, Quebec, QC, G1J 2P9, CAN"
0055,Éteint,2025-12-31T21:15:39,Permis,308,249282.21999999974,5187611.714,-71.22767176923645,46.82573793200029,"327-379 8e Rue, Quebec, QC, G1L, CAN"
0056,Éteint,2025-12-31T21:15:39,Permis,955,249137.1200000001,5187504.897,-71.22956043583105,46.82476494196178,"220-280 8e Rue, Quebec, QC, G1L, CAN"
0057,Éteint,2025-12-31T21:15:39,Permis,951,249004.20600000024,5187521.6559999995,-71.23130440675067,46.82490458284828,"124-198 9e Rue, Quebec, QC, G1L, CAN"
0058,Éteint,2025-12-31T21:15:39,Permis,300,249219.0750000002,5187671.243000001,-71.22850657666122,46.82626816741348,"301-389 9e Rue, Quebec, QC, G1L, CAN"
0059,Éteint,2025-12-31T21:15:39,Permis,1026,249317.58000000007,5187831.546,-71.22723501489152,46.82771840102345,"401-645 10e Rue, Quebec, QC, G1J, CAN"
0060,Éteint,2025-12-31T21:15:39,Permis,1051,249008.96600000001,5187641.426000001,-71.23125663431696,46.82598238531544,"209-275 10e Rue, Quebec, QC, G1L, CAN"
0061,Éteint,2025-12-31T21:15:39,Permis,138,248982.66399999987,5187708.402000001,-71.23160952184836,46.82658267211384,"210-272 11e Rue, Quebec, QC, G1L, CAN"
0062,Éteint,2025-12-31T21:15:39,Permis,307,249183.81900000013,5187831.825999999,-71.22898817275407,46.827709767436325,"316-394 11e Rue, Quebec, QC, G1L, CAN"
0063,Éteint,2025-12-31T21:15:39,Permis,306,249339.32299999986,5187943.704,-71.2269636456745,46.828729141118124,"431-725 11e Rue, Quebec, QC, G1J, CAN"
0064,Éteint,2025-12-31T21:15:39,Permis,954,249245.0669999998,5187966.323000001,-71.22820177299518,46.82892475975473,"402-798 12e Rue, Quebec, QC, G1J, CAN"
0065,Éteint,2025-12-31T21:15:39,Permis,953,249055.8219999997,5187867.385,-71.2306700851735,46.82801894522338,"301-389 12e Rue, Quebec, QC, G1L, CAN"
0066,Éteint,2025-12-31T21:15:39,Permis,527,248868.375,5187752.561000001,-71.23311280598425,46.82697032460789,"113-199 12e Rue, Quebec, QC, G1L, CAN"
0067,Éteint,2025-12-31T21:15:39,Permis,526,248882.90000000037,5187846.313999999,-71.23293390242276,46.827814908352124,"210-284 13e Rue, Quebec, QC, G1L, CAN"
0068,Éteint,2025-12-31T21:15:39,Permis,737,249155.0499999998,5188026.957,-71.22938897597065,46.829462686933155,"425-719 13e Rue, Quebec, QC, G1J, CAN"
0069,Éteint,2025-12-31T21:15:39,Permis,1028,249119.41700000037,5188087.478,-71.22986338094975,46.83000413268683,"400-798 14e Rue, Quebec, QC, G1J, CAN"
0070,Éteint,2025-12-31T21:15:39,Permis,435,248910.53299999982,5187977.07,-71.23258771477182,46.82899345562718,"255-281 14e Rue, Quebec, QC, G1L, CAN"
0071,Éteint,2025-12-31T21:15:39,Permis,437,248770.2790000001,5187883.6,-71.23441452656411,46.828140856660596,"102-160 Boul Benoît Xv, Quebec, QC, G1L, CAN"
0072,Éteint,2025-12-31T21:15:39,Permis,494,248922.4910000004,5188085.153999999,-71.23244419339753,46.82996673895195,"307-375 15e Rue, Quebec, QC, G1L, CAN"
0073,Éteint,2025-12-31T21:15:39,Permis,137,249066.03899999987,5188172.079,-71.23057331580216,46.83076070610824,"501-777 15e Rue, Quebec, QC, G1J, CAN"
0074,Éteint,2025-12-31T21:15:39,Permis,136,249022.3839999996,5188244.368000001,-71.23115432626437,46.83140733527865,"501-797 16e Rue, Quebec, QC, G1J, CAN"
0075,Éteint,2025-12-31T21:15:39,Permis,303,248883.7910000002,5188159.013,-71.23296046393632,46.83062789763482,"311-387 16e Rue, Quebec, QC, G1L, CAN"
0076,Éteint,2025-12-31T21:15:39,Permis,736,248878.50100000016,5188254.8719999995,-71.23304152507139,46.8314897623346,"303-395 17e Rue, Quebec, QC, G1L 2E5, CAN"
0077,Éteint,2025-12-31T21:15:39,Permis,950,248977.47800000012,5188315.976,-71.23175166497147,46.83204773051732,"401-785 17e Rue, Quebec, QC, G1J, CAN"
0078,Éteint,2025-12-31T21:15:39,Permis,524,248788.64474999998,5188110.9585,-71.23420166672847,46.830187626043035,"1557-1697 Boul Benoît Xv, Quebec, QC, G1L 2Z3, CAN"
0079,Éteint,2025-12-31T21:15:39,Permis,305,248868.5120000001,5187986.762,-71.23313965638427,46.82907711451562,"247-1503 Boul Benoît Xv, Quebec, QC, G1L 2Z3, CAN"
0080,Éteint,2025-12-31T21:15:39,Permis,495,248686.53000000026,5188017.3182500005,-71.23552858995434,46.82933668334524,"1598-1718 Boul Cardinal Villeneuve, Quebec, QC, G1L 4X6, CAN"
0081,Éteint,2025-12-31T21:15:39,Permis,525,248598.59999999963,5188057.091,-71.23668595598949,46.82968705083993,"124-184 Rue Carignan Salières, Quebec, QC, G1L, CAN"
0082,Éteint,2025-12-31T21:15:39,Permis,443,249332.07600000035,5187492.460000001,-71.22700389754905,46.824669321029916,"300-402 Ch De La Canardière, Quebec, QC, G1L, CAN"
0083,Éteint,2025-12-31T21:15:39,Permis,440,249399.96800000034,5187768.528000001,-71.22614757064788,46.82715837115301,"542-770 Ch De La Canardière, Quebec, QC, G1J 2B4, CAN"
0084,Hors service,2025-12-31T21:15:39,Feu clignotant hors service,534,249111.3169999998,5187256.251,-71.22986832773144,46.822526062772994,"500-596 1re Av, Quebec, QC, G1L 3J9, CAN"
0085,Éteint,2025-12-31T21:15:39,Permis,1038,248979.63999999966,5187380.6,-71.23160914598797,46.823633640759525,"700-796 1re Av, Quebec, QC, G1L, CAN"
0086,Éteint,2025-12-31T21:15:39,Permis,961,248931.50600000005,5187459.335000001,-71.23224957810827,46.824337875997855,"800-896 1re Av, Quebec, QC, G1L 3K3, CAN"
0087,Éteint,2025-12-31T21:15:39,Permis,535,248818.76300000027,5187643.885,-71.23374972717832,46.82598855208523,"1100-1188 1re Av, Quebec, QC, G1L 3K8, CAN"
0088,Éteint,2025-12-31T21:15:39,Permis,1054,248626.82400000002,5187981.823000001,-71.23630678165456,46.82901235106682,"1604-1694 1re Av, Quebec, QC, G1L 3L6, CAN"
0089,Éteint,2025-12-31T21:15:39,Permis,536,248357.88599999994,5187976.768999999,-71.23983104043042,46.8289441574987,"1700-1790 Av D'Assise, Quebec, QC, G1L, CAN"
0090,Éteint,2025-12-31T21:15:39,Permis,1057,248449.8339999998,5187832.332,-71.23860811039141,46.82765264513894,"1410-1684 Av D'Assise, Quebec, QC, G1L, CAN"
0091,Éteint,2025-12-31T21:15:39,Permis,965,248635.32299999986,5187667.220000001,-71.2361567482215,46.82618302673186,"1010-1298 Rue Ozanam, Quebec, QC, G1L 3S9, CAN"
0092,Éteint,2025-12-31T21:15:39,Permis,1058,248548.1969999997,5187813.329,-71.23731659317143,46.827490013901134,"1500-1750 Rue Ozanam, Quebec, QC, G1L, CAN"
0093,Éteint,2025-12-31T21:15:39,Permis,962,248432.63200000022,5187883.453,-71.23883986718648,46.82811105348821,"1500-1750 Rue Ozanam, Quebec, QC, G1L, CAN"
0094,Éteint,2025-12-31T21:15:39,Permis,142,248422.12600000016,5188002.034,-71.23899218389445,46.82917687022252,"1704-1770 Rue Pontgravé, Quebec, QC, G1L, CAN"
0095,Éteint,2025-12-31T21:15:39,Permis,496,248488.32400000002,5187995.97525,-71.23812379937715,46.829127966798644,"1703-1795 Rue Roberval, Quebec, QC, G1L 3S5, CAN"
0096,Éteint,2025-12-31T21:15:39,Permis,497,248317.95212499984,5187905.034125,-71.24034557910471,46.82829547605718,"54-80 Rue Leclerc, Quebec, QC, G1L, CAN"
0097,Éteint,2025-12-31T21:15:39,Permis,144,248308.4968750002,5187783.148250001,-71.24045444696561,46.82719823963776,"1402-1680 Av Jeanne Mance, Quebec, QC, G1L, CAN"
0098,Éteint,2025-12-31T21:15:39,Permis,1045,248596.73500000034,5187588.619000001,-71.23665282274843,46.82547271003221,"1050-1260 Rue D'Aiguebelle, Quebec, QC, G1L, CAN"
0099,Éteint,2025-12-31T21:15:39,Permis,552,248738.875,5187619.842,-71.23479378820278,46.82576555402763,"1055-1293 Av La Sarre, Quebec, QC, G1L 3S3, CAN"
0100,Éteint,2025-12-31T21:15:39,Permis,747,248636.4299999997,5187749.9399999995,-71.23615239884263,46.82692723572625,"1301-1395 Rue Saint Martial, Quebec, QC, G1L 3S4, CAN"
0101,Éteint,2025-12-31T21:15:39,Permis,554,248436.62799999956,5187678.961999999,-71.23876228977518,46.8262718744746,"120-160 Rue De L'Espinay, Quebec, QC, G1L 2H6, CAN"
0102,Éteint,2025-12-31T21:15:39,Permis,555,248246.94299999997,5187813.653000001,-71.24126495846949,46.82746742582151,"1408-1650 Av De Guyenne, Quebec, QC, G1L, CAN"
0103,Éteint,2025-12-31T21:15:39,Permis,748,248237.54899999965,5187737.475,-71.24137865671761,46.82678136276624,"1415-1651 Av De Guyenne, Quebec, QC, G1L 4B6, CAN"
0104,Éteint,2025-12-31T21:15:39,Permis,449,248233.72200000007,5187434.948000001,-71.2413913959813,46.82405962995626,"257-285 Rue Papineau, Quebec, QC, G1L, CAN"
0105,Éteint,2025-12-31T21:15:39,Permis,1059,248080.0049999999,5187533.8440000005,-71.24341819224622,46.82493619037322,"1517-1607 Av François 1, Quebec, QC, G1L 4L3, CAN"
0106,Éteint,2025-12-31T21:15:39,Permis,967,248098.60512499977,5187627.792125,-71.24318607277232,46.825782891623035,"1501-1585 Rue De Meulles, Quebec, QC, G1L, CAN"
0107,Éteint,2025-12-31T21:15:39,Permis,964,248264.37825000007,5187502.152000001,-71.24099793871905,46.82466677127464,"257-285 Rue Papineau, Quebec, QC, G1L, CAN"
0108,Éteint,2025-12-31T21:15:39,Permis,1042,248302.53399999999,5187294.214,-71.24047219914425,46.82279948227744,"315-399 Rue Bibaud, Quebec, QC, G1L, CAN"
0109,Éteint,2025-12-31T21:15:39,Permis,314,248186.62299999967,5187256.481000001,-71.24198656070973,46.82245021421867,"1300-1304 Rue De La Pointe Aux Lièvres, Quebec, QC, G1L, CAN"
0110,Éteint,2025-12-31T21:15:39,Permis,746,248049.33412500005,5187167.31325,-71.24377467786809,46.821636420178265,"410-464 Rue Daniel, Quebec, QC, G1L, CAN"
0111,Éteint,2025-12-31T21:15:39,Permis,143,248172.28100000042,5187298.391000001,-71.24217970209034,46.82282600078002,"301-397 Rue Papineau, Quebec, QC, G1L 4E2, CAN"
0112,Éteint,2025-12-31T21:15:39,Permis,966,248259.22200000007,5187344.950999999,-71.2410460814976,46.82325221803481,"301-385 Rue Julien, Quebec, QC, G1L, CAN"
0113,Éteint,2025-12-31T21:15:39,Permis,450,248157.0360000003,5187578.563999999,-71.2424141877913,46.82534502568723,"1461-1491 Rue De Meulles, Quebec, QC, G1L 0A7, CAN"
0114,Éteint,2025-12-31T21:15:39,Permis,451,248078.31400000025,5187691.448999999,-71.24345990100245,46.82635379518611,"200-246 Rue De La Martinière, Quebec, QC, G1L, CAN"
0116,Éteint,2025-12-31T21:15:39,Permis,315,248034.37299999967,5187729.267000001,-71.24404048657757,46.826690247841746,"199-249 Rue De Lanaudière, Quebec, QC, G1L, CAN"
0117,Éteint,2025-12-31T21:15:39,Permis,1060,248159.25700000022,5187469.513,-71.24237157461575,46.82436423686236,"325-403 Rue De L'Espinay, Quebec, QC, G1L, CAN"
0118,Éteint,2025-12-31T21:15:39,Permis,316,248314.51400000043,5187612.546,-71.24035451330737,46.825664082336964,"237-247 Rue De L'Espinay, Quebec, QC, G1L 5B1, CAN"
0119,Éteint,2025-12-31T21:15:39,Permis,556,248671.04700000025,5187521.196,-71.23567062826581,46.82487246385585,"43-69 Rue Jacques Cartier, Quebec, QC, G1L 3R6, CAN"
0120,Éteint,2025-12-31T21:15:39,Permis,452,248608.10300000012,5187797.197000001,-71.2365294642526,46.82734995209262,"23-37 Rue De L'Espinay, Quebec, QC, G1L, CAN"
0121,Éteint,2025-12-31T21:15:39,Permis,1046,248514.07299999986,5187725.989,-71.23775308279247,46.82670145699922,"1410-1684 Av D'Assise, Quebec, QC, G1L, CAN"
0122,Éteint,2025-12-31T21:15:39,Permis,553,248580.62700000033,5187678.546,-71.23687498592456,46.826280298030085,"44-74 Rue Royal Roussillon, Quebec, QC, G1L, CAN"
0123,Éteint,2025-12-31T21:15:39,Permis,1061,248440.9210000001,5187965.93,-71.2387413931972,46.8288536837895,"28-44 Rue Leclerc, Quebec, QC, G1L, CAN"
0124,Éteint,2025-12-31T21:15:39,Permis,969,248275.375,5187899.856000001,-71.2409029758698,46.82824528488606,"82-104 Rue Leclerc, Quebec, QC, G1L, CAN"
0125,Éteint,2025-12-31T21:15:39,Permis,968,248139.64800000004,5187633.396,-71.24264886415418,46.82583679317959,"225-245 Rue Le Jeune, Quebec, QC, G1L 4G4, CAN"
0126,Éteint,2025-12-31T21:15:39,Permis,430,247964.40000000037,5188449.819499999,-71.24504712615334,46.83316606484047,"14-14 Rue Soumande, Quebec, QC, G1L, CAN"
0132,Éteint,2025-12-31T21:15:39,Permis,149,247759.1227500001,5188302.886,-71.24771949766395,46.83182676903511,"35-145 Rue Soumande, Quebec, QC, G1L 5A7, CAN"
0134,Éteint,2025-12-31T21:15:39,Permis,977,248633.59999999963,5188337.683,-71.23626168612063,46.832214092714686,"1901-1995 Boul Benoît Xv, Quebec, QC, G1L 2Z8, CAN"
0135,Éteint,2025-12-31T21:15:39,Permis,733,248840.25100000016,5187468.221999999,-71.23344661284888,46.82441016246098,"7-31 Rue De La Briqueterie, Quebec, QC, G1L, CAN"
0136,Éteint,2025-12-31T21:15:39,Permis,1311,248726.82349999994,5185960.460875001,-71.23474836077038,46.81083739214464,"385-389 Rue Jacques Normand, Quebec, QC, G1K 7W4, CAN"
0149,Éteint,2025-12-31T21:15:39,Permis,498,248263.43800000008,5187978.152875001,-71.24106910859686,46.82894859804078,"1715-1785 Av De La Normandie, Quebec, QC, G1L, CAN"
0150,Éteint,2025-12-31T21:15:39,Permis,318,248314.45600000024,5188732.27,-71.24049360724757,46.83573664485723,"110-180 26e Rue, Quebec, QC, G1L, CAN"
0151,Éteint,2025-12-31T21:15:39,Permis,559,248455.11199999973,5188864.877,-71.2386661918045,46.83694143445043,"205-401 26e Rue, Quebec, QC, G1L 1V3, CAN"
0152,Éteint,2025-12-31T21:15:39,Permis,1164,248514.44799999986,5188801.241,-71.23788054322875,46.83637400892839,"200-392 25e Rue, Quebec, QC, G1L 1V7, CAN"
0153,Éteint,2025-12-31T21:15:39,Permis,1165,248305.61649999954,5188646.396,-71.24059886469041,46.834963409350735,"120-198 25e Rue, Quebec, QC, G1L 1V5, CAN"
0154,Éteint,2025-12-31T21:15:39,Permis,749,248427.46800000034,5188680.048,-71.23900577079783,46.83527645218563,"201-295 24e Rue, Quebec, QC, G1L 1W4, CAN"
0155,Éteint,2025-12-31T21:15:39,Permis,146,248666.00999999978,5188832.193,-71.23589759837296,46.836665230745815,"409-795 24e Rue, Quebec, QC, G1J, CAN"
0156,Éteint,2025-12-31T21:15:39,Permis,750,248667.17425000016,5188699.90275,-71.23586609063346,46.83547530116882,"304-380 23e Rue, Quebec, QC, G1L, CAN"
0157,Éteint,2025-12-31T21:15:39,Permis,499,248531.1509999996,5188516.528000001,-71.23762654496389,46.83381426186174,"248-276 22e Rue, Quebec, QC, G1L 2Z8, CAN"
0158,Éteint,2025-12-31T21:15:39,Permis,971,248826.4589999998,5188698.483999999,-71.23377797114662,46.83547594316364,"496-784 22e Rue, Quebec, QC, G1J, CAN"
0159,Éteint,2025-12-31T21:15:39,Permis,317,248673.0081249997,5188508.222625,-71.23576608340794,46.83375151816152,"320-390 21e Rue, Quebec, QC, G1L, CAN"
0160,Éteint,2025-12-31T21:15:39,Permis,500,248816.22200000007,5188496.078,-71.23388737160502,46.83365432190862,"314-390 20e Rue, Quebec, QC, G1L, CAN"
0161,Éteint,2025-12-31T21:15:39,Permis,561,248802.5120000001,5188389.047,-71.23405396938138,46.83269036257247,"330-386 19e Rue, Quebec, QC, G1L, CAN"
0162,Éteint,2025-12-31T21:15:39,Permis,558,248550.1919999998,5188212.57,-71.2373395598743,46.831081590317666,"124-202 Rue Hamilton, Quebec, QC, G1L, CAN"
0163,Éteint,2025-12-31T21:15:39,Permis,970,248485.71999999974,5188264.625,-71.23819101769826,46.83154440854116,"108-196 Rue Berthiaume, Quebec, QC, G1L, CAN"
0164,Éteint,2025-12-31T21:15:39,Permis,1063,248448.42399999965,5188353.414999999,-71.23869081128048,46.83233997243093,"135-183 Rue St Adélard, Quebec, QC, G1L, CAN"
0165,Éteint,2025-12-31T21:15:39,Permis,170,248240.78299999982,5188194.999,-71.24139286337859,46.83089733176845,"2110-2150 Av D'Assise, Quebec, QC, G1L, CAN"
0166,Éteint,2025-12-31T21:15:39,Permis,751,248372.60775000043,5188171.582875,-71.23966212946856,46.8306978690275,"5-85 Rue De Gaspé, Quebec, QC, G1L, CAN"
0167,Éteint,2025-12-31T21:15:39,Permis,1169,248388.29899999965,5188116.427999999,-71.23944965798046,46.83020304767027,"2-60 Rue Bourdon, Quebec, QC, G1L, CAN"
0168,Éteint,2025-12-31T21:15:39,Permis,972,248263.4570000004,5188153.823000001,-71.24109058082017,46.83052885444574,"1930-1950 Av D'Assise, Quebec, QC, G1L, CAN"
0169,Éteint,2025-12-31T21:15:39,Permis,1170,248204.3339999998,5188093.404999999,-71.24185802943978,46.82998033948281,"1715-1785 Av De La Normandie, Quebec, QC, G1L, CAN"
0170,Éteint,2025-12-31T21:15:39,Permis,1064,248169.47200000007,5188045.516000001,-71.24230903094555,46.82954658771722,"1810-2098 Av Jeanne Mance, Quebec, QC, G1L 3Z6, CAN"
0171,Éteint,2025-12-31T21:15:39,Permis,973,248109.0661249999,5187999.105374999,-71.2430950040625,46.82912395991023,"1802-2070 Rue De La Bastille, Quebec, QC, G1L, CAN"
